size(n), Height(n)/lg n, Height(n)/n
500,2.0076325091596163,0.036
1000,2.0068666377598747,0.02
1500,2.085160458070919,0.014666666666666666
2000,2.097433197930972,0.0115
2500,2.126205841626695,0.0096
3000,2.164362223889797,0.008333333333333333
3500,2.2084169348103964,0.0074285714285714285
4000,2.0892905475527717,0.00625
4500,2.224839056660287,0.006
5000,2.1973170567481985,0.0054
5500,2.173000470183414,0.004909090909090909
6000,2.230942945371916,0.004666666666666667
6500,2.2106035700776556,0.0043076923076923075
7000,2.1921001209530204,0.004
7500,2.09746616388034,0.0036
8000,2.236656060544339,0.003625
8500,2.2216694221954283,0.003411764705882353
9000,2.283850787694843,0.0033333333333333335
9500,2.1946899132579434,0.0030526315789473684
10000,2.257724967479859,0.003
10500,2.2458280867324985,0.002857142857142857
11000,2.3090876320567353,0.002818181818181818
11500,2.223977312513608,0.0026086956521739132
12000,2.2876967956805676,0.0025833333333333333
12500,2.204319802301129,0.0024
13000,2.3415392571815192,0.0024615384615384616
13500,2.2593645910082825,0.0022962962962962963
14000,2.2507577636967175,0.002214285714285714
14500,2.242514927920687,0.0021379310344827587
15000,2.3066928531216178,0.0021333333333333334
15500,2.2988537793926027,0.002064516129032258
16000,2.2197106419612775,0.0019375
16500,2.284053712750501,0.0019393939393939393
17000,2.348211748098568,0.0019411764705882352
17500,2.2702977797311763,0.0018285714285714285
18000,2.1930275568466473,0.0017222222222222222
18500,2.25745774352806,0.0017297297297297297
19000,2.3217017812615324,0.001736842105263158
19500,2.3155966692204233,0.0016923076923076924
20000,2.23968674270087,0.0016
